#X,Acoustic Pressure across Frequency(2)_At Node 746
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude
20.000000,0.000056
30.000000,0.000037
40.000000,0.000028
50.000000,0.000023
60.000000,0.000019
70.000000,0.000016
80.000000,0.000014
90.000000,0.000013
100.000000,0.000012
110.000000,0.000011
120.000000,0.000010
130.000000,0.000010
140.000000,0.000009
150.000000,0.000009
160.000000,0.000008
170.000000,0.000008
180.000000,0.000008
190.000000,0.000007
200.000000,0.000007
210.000000,0.000007
220.000000,0.000007
230.000000,0.000007
240.000000,0.000007
250.000000,0.000007
260.000000,0.000007
270.000000,0.000007
280.000000,0.000007
290.000000,0.000007
300.000000,0.000007
310.000000,0.000007
320.000000,0.000007
330.000000,0.000007
340.000000,0.000007
350.000000,0.000007
360.000000,0.000008
370.000000,0.000008
380.000000,0.000008
390.000000,0.000009
400.000000,0.000009
410.000000,0.000010
420.000000,0.000010
430.000000,0.000011
440.000000,0.000012
450.000000,0.000013
460.000000,0.000014
470.000000,0.000015
480.000000,0.000017
490.000000,0.000019
500.000000,0.000022
510.000000,0.000026
520.000000,0.000032
530.000000,0.000041
540.000000,0.000057
550.000000,0.000092
560.000000,0.000236
570.000000,0.000457
580.000000,0.000118
590.000000,0.000069
600.000000,0.000049
610.000000,0.000038
620.000000,0.000032
630.000000,0.000027
640.000000,0.000024
650.000000,0.000022
660.000000,0.000020
670.000000,0.000019
680.000000,0.000017
690.000000,0.000016
700.000000,0.000016
710.000000,0.000015
720.000000,0.000015
730.000000,0.000014
740.000000,0.000014
750.000000,0.000014
760.000000,0.000014
770.000000,0.000013
780.000000,0.000013
790.000000,0.000013
800.000000,0.000013
810.000000,0.000014
820.000000,0.000014
830.000000,0.000014
840.000000,0.000014
850.000000,0.000015
860.000000,0.000015
870.000000,0.000015
880.000000,0.000016
890.000000,0.000016
900.000000,0.000017
910.000000,0.000018
920.000000,0.000019
930.000000,0.000020
940.000000,0.000021
950.000000,0.000023
960.000000,0.000024
970.000000,0.000026
980.000000,0.000028
990.000000,0.000031
1000.000000,0.000033
1010.000000,0.000037
1020.000000,0.000041
1030.000000,0.000046
1040.000000,0.000052
1050.000000,0.000060
1060.000000,0.000069
1070.000000,0.000082
1080.000000,0.000099
1090.000000,0.000123
1100.000000,0.000159
1110.000000,0.000217
1120.000000,0.000326
1130.000000,0.000597
1140.000000,0.002445
1150.000000,0.001406
1160.000000,0.000591
1170.000000,0.000394
1180.000000,0.000307
1190.000000,0.000260
1200.000000,0.000231
1210.000000,0.000213
1220.000000,0.000202
1230.000000,0.000195
1240.000000,0.000192
1250.000000,0.000191
1260.000000,0.000192
1270.000000,0.000193
1280.000000,0.000192
1290.000000,0.000193
1300.000000,0.000182
1310.000000,0.000143
1320.000000,0.000024
1330.000000,0.000387
1340.000000,0.002618
1350.000000,0.035018
1360.000000,0.026246
1370.000000,0.010924
1380.000000,0.003600
1390.000000,0.002082
1400.000000,0.001473
1410.000000,0.001163
1420.000000,0.000984
1430.000000,0.000875
1440.000000,0.000809
1450.000000,0.000772
1460.000000,0.000759
1470.000000,0.000766
1480.000000,0.000793
1490.000000,0.000844
1500.000000,0.000926
1510.000000,0.001052
1520.000000,0.001249
1530.000000,0.001577
1540.000000,0.002189
1550.000000,0.003658
1560.000000,0.011210
1570.000000,0.011069
1580.000000,0.003823
1590.000000,0.002426
1600.000000,0.001836
1610.000000,0.001538
1620.000000,0.001381
1630.000000,0.001314
1640.000000,0.001322
1650.000000,0.001420
1660.000000,0.001669
1670.000000,0.000831
1680.000000,0.004806
1690.000000,0.009716
1700.000000,0.001901
1710.000000,0.000988
1720.000000,0.000577
1730.000000,0.000363
1740.000000,0.000226
1750.000000,0.000124
1760.000000,0.000036
1770.000000,0.000053
1780.000000,0.000164
1790.000000,0.000341
1800.000000,0.000744
1810.000000,0.003301
1820.000000,0.002122
1830.000000,0.000922
1840.000000,0.000632
1850.000000,0.000504
1860.000000,0.000434
1870.000000,0.000394
1880.000000,0.000371
1890.000000,0.000361
1900.000000,0.000363
1910.000000,0.000377
1920.000000,0.000408
1930.000000,0.000463
1940.000000,0.000576
1950.000000,0.000767
1960.000000,0.001412
1970.000000,0.056930
1980.000000,0.001294
1990.000000,0.000601
2000.000000,0.000377


