#X,Acoustic Pressure across Frequency_At Node 718
#Frequency(Hz),General/Unknown()_Magnitude
20.000000,135.085236
30.000000,131.134638
40.000000,127.725220
50.000000,124.362251
60.000000,120.601528
70.000000,115.695128
80.000000,107.360220
90.000000,105.145422
100.000000,113.388670
110.000000,117.492824
120.000000,120.140392
130.000000,122.080054
140.000000,123.606998
150.000000,124.865977
160.000000,125.938118
170.000000,126.873190
180.000000,127.703791
190.000000,128.452364
200.000000,129.134990
210.000000,129.763563
220.000000,130.347119
230.000000,130.892690
240.000000,131.405851
250.000000,131.891103
260.000000,132.352140
270.000000,132.792035
280.000000,133.213384
290.000000,133.618406
300.000000,134.009025
310.000000,134.386931
320.000000,134.753631
330.000000,135.110486
340.000000,135.458752
350.000000,135.799602
360.000000,136.134160
370.000000,136.463528
380.000000,136.788811
390.000000,137.111155
400.000000,137.431778
410.000000,137.752020
420.000000,138.073405
430.000000,138.397723
440.000000,138.727149
450.000000,139.064411
460.000000,139.413052
470.000000,139.777835
480.000000,140.165400
490.000000,140.585396
500.000000,141.052511
510.000000,141.590371
520.000000,142.239681
530.000000,143.077002
540.000000,144.263901
550.000000,146.191654
560.000000,149.598640
570.000000,145.403962
580.000000,132.627715
590.000000,132.841139
600.000000,135.831559
610.000000,137.481180
620.000000,138.532780
630.000000,139.290062
640.000000,139.882719
650.000000,140.374289
660.000000,140.799411
670.000000,141.178555
680.000000,141.524598
690.000000,141.846066
700.000000,142.148833
710.000000,142.437093
720.000000,142.713934
730.000000,142.981687
740.000000,143.242154
750.000000,143.496763
760.000000,143.746661
770.000000,143.992799
780.000000,144.235967
790.000000,144.476848
800.000000,144.716030
810.000000,144.954038
820.000000,145.191348
830.000000,145.428397
840.000000,145.665596
850.000000,145.903338
860.000000,146.142011
870.000000,146.381998
880.000000,146.623690
890.000000,146.867491
900.000000,147.113826
910.000000,147.363153
920.000000,147.615969
930.000000,147.872825
940.000000,148.134344
950.000000,148.401236
960.000000,148.674326
970.000000,148.954591
980.000000,149.243201
990.000000,149.541585
1000.000000,149.851524
1010.000000,150.175328
1020.000000,150.515598
1030.000000,150.876631
1040.000000,151.263453
1050.000000,151.683444
1060.000000,152.147310
1070.000000,152.671283
1080.000000,153.281303
1090.000000,154.021630
1100.000000,154.974471
1110.000000,156.310644
1120.000000,158.437951
1130.000000,162.201678
1140.000000,159.425228
1150.000000,147.177963
1160.000000,142.352747
1170.000000,146.163385
1180.000000,148.424234
1190.000000,149.880038
1200.000000,150.933361
1210.000000,151.774403
1220.000000,152.492784
1230.000000,153.136500
1240.000000,153.733802
1250.000000,154.302653
1260.000000,154.855278
1270.000000,155.400548
1280.000000,155.945314
1290.000000,156.495218
1300.000000,157.055214
1310.000000,157.629920
1320.000000,158.223913
1330.000000,158.841956
1340.000000,159.489244
1350.000000,160.171662
1360.000000,160.896106
1370.000000,161.670907
1380.000000,162.506410
1390.000000,163.415842
1400.000000,164.416629
1410.000000,165.532522
1420.000000,166.797232
1430.000000,168.261047
1440.000000,170.004043
1450.000000,172.165712
1460.000000,175.023912
1470.000000,179.273462
1480.000000,187.811275
1490.000000,190.993675
1500.000000,180.399144
1510.000000,175.758969
1520.000000,172.753634
1530.000000,170.525811
1540.000000,168.753007
1550.000000,167.278208
1560.000000,166.016604
1570.000000,164.905552
1580.000000,163.914747
1590.000000,163.017008
1600.000000,162.193281
1610.000000,161.428931
1620.000000,160.712185
1630.000000,160.033106
1640.000000,159.382818
1650.000000,158.752829
1660.000000,158.134346
1670.000000,157.517388
1680.000000,156.889476
1690.000000,156.233312
1700.000000,155.520627
1710.000000,154.728476
1720.000000,153.745111
1730.000000,152.426444
1740.000000,150.371560
1750.000000,146.884789
1760.000000,151.650379
1770.000000,164.442315
1780.000000,163.057747
1790.000000,160.042848
1800.000000,158.369824
1810.000000,157.203501
1820.000000,156.536938
1830.000000,155.888673
1840.000000,155.354554
1850.000000,154.891675
1860.000000,154.478500
1870.000000,154.101837
1880.000000,153.752969
1890.000000,153.425829
1900.000000,153.116022
1910.000000,152.820244
1920.000000,152.535931
1930.000000,152.261033
1940.000000,151.993856
1950.000000,151.732965
1960.000000,151.477099
1970.000000,151.225124
1980.000000,150.975978
1990.000000,150.728639
2000.000000,150.482087


