#X,Acoustic Pressure across Frequency(2)_At Node 3333,Acoustic Pressure across Frequency(2)_At Node 3333
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,0.000177,-249.990204
30.000000,0.000126,-256.070051
40.000000,0.000099,-261.540469
50.000000,0.000080,-264.261804
60.000000,0.000068,-267.170117
70.000000,0.000059,-269.361157
80.000000,0.000052,-271.282488
90.000000,0.000047,-273.257404
100.000000,0.000042,-274.928102
110.000000,0.000038,-277.274778
120.000000,0.000036,-278.781810
130.000000,0.000033,-280.210370
140.000000,0.000031,-281.436989
150.000000,0.000030,-282.354327
160.000000,0.000028,-284.142631
170.000000,0.000027,-285.336417
180.000000,0.000026,-286.606991
190.000000,0.000025,-287.836828
200.000000,0.000024,-288.970346
210.000000,0.000024,-290.200381
220.000000,0.000023,-291.258559
230.000000,0.000023,-292.373492
240.000000,0.000022,-293.553302
250.000000,0.000022,-294.822582
260.000000,0.000021,-295.989256
270.000000,0.000021,-296.995525
280.000000,0.000021,-298.174486
290.000000,0.000021,-299.345476
300.000000,0.000021,-300.430016
310.000000,0.000021,-301.638414
320.000000,0.000021,-302.709145
330.000000,0.000021,-303.858886
340.000000,0.000021,-304.952195
350.000000,0.000021,-306.075921
360.000000,0.000022,-307.195852
370.000000,0.000022,-308.330326
380.000000,0.000022,-309.469686
390.000000,0.000023,-310.564669
400.000000,0.000023,-311.682374
410.000000,0.000024,-312.801941
420.000000,0.000025,-313.957245
430.000000,0.000025,-315.083285
440.000000,0.000026,-316.213972
450.000000,0.000027,-317.350687
460.000000,0.000028,-318.488511
470.000000,0.000030,-319.655102
480.000000,0.000031,-320.792987
490.000000,0.000033,-321.963711
500.000000,0.000034,-323.130085
510.000000,0.000036,-324.329641
520.000000,0.000039,-325.533474
530.000000,0.000041,-326.730494
540.000000,0.000045,-327.965659
550.000000,0.000048,-329.202368
560.000000,0.000052,-330.478318
570.000000,0.000057,-331.756737
580.000000,0.000063,-333.035286
590.000000,0.000070,-334.424014
600.000000,0.000079,-335.832628
610.000000,0.000089,-337.257988
620.000000,0.000103,-338.787043
630.000000,0.000121,-340.442691
640.000000,0.000145,-342.294682
650.000000,0.000178,-344.318777
660.000000,0.000228,-346.760116
670.000000,0.000303,-349.781002
680.000000,0.000440,-354.270215
690.000000,0.000753,-3.029537
700.000000,0.001821,-33.622429
710.000000,0.001728,-124.734215
720.000000,0.000866,-149.731876
730.000000,0.000587,-157.999925
740.000000,0.000463,-162.614875
750.000000,0.000399,-165.868000
760.000000,0.000364,-168.702109
770.000000,0.000347,-171.259295
780.000000,0.000345,-173.820576
790.000000,0.000358,-176.555124
800.000000,0.000389,-179.714353
810.000000,0.000442,-183.550541
820.000000,0.000543,-189.046786
830.000000,0.000773,-199.661432
840.000000,0.001305,-226.539982
850.000000,0.001401,-293.941210
860.000000,0.000722,-328.944691
870.000000,0.000423,-341.784541
880.000000,0.000287,-348.164212
890.000000,0.000213,-352.166485
900.000000,0.000166,-355.171084
910.000000,0.000134,-357.688487
920.000000,0.000111,-359.797583
930.000000,0.000094,-1.695351
940.000000,0.000081,-3.397937
950.000000,0.000071,-5.043434
960.000000,0.000063,-6.608433
970.000000,0.000056,-8.085361
980.000000,0.000050,-9.536987
990.000000,0.000046,-10.924025
1000.000000,0.000042,-12.278327
1010.000000,0.000038,-13.656102
1020.000000,0.000035,-14.969982
1030.000000,0.000033,-16.268679
1040.000000,0.000031,-17.558371
1050.000000,0.000029,-18.832144
1060.000000,0.000027,-20.051138
1070.000000,0.000025,-21.309564
1080.000000,0.000024,-22.570703
1090.000000,0.000023,-23.766404
1100.000000,0.000022,-25.013412
1110.000000,0.000021,-26.204893
1120.000000,0.000020,-27.444613
1130.000000,0.000019,-28.631850
1140.000000,0.000019,-29.875722
1150.000000,0.000018,-31.057502
1160.000000,0.000017,-32.238404
1170.000000,0.000017,-33.419495
1180.000000,0.000016,-34.595915
1190.000000,0.000016,-35.778322
1200.000000,0.000016,-36.957529
1210.000000,0.000015,-38.143770
1220.000000,0.000015,-39.327812
1230.000000,0.000015,-40.519905
1240.000000,0.000015,-41.710799
1250.000000,0.000014,-42.820512
1260.000000,0.000014,-43.833554
1270.000000,0.000014,-45.223303
1280.000000,0.000014,-46.348641
1290.000000,0.000014,-47.561772
1300.000000,0.000014,-48.685763
1310.000000,0.000014,-49.911293
1320.000000,0.000014,-51.042819
1330.000000,0.000014,-52.283424
1340.000000,0.000014,-53.425897
1350.000000,0.000014,-54.581077
1360.000000,0.000015,-55.848409
1370.000000,0.000015,-57.011087
1380.000000,0.000015,-58.180378
1390.000000,0.000015,-59.358707
1400.000000,0.000016,-60.672577
1410.000000,0.000016,-61.873733
1420.000000,0.000017,-63.094996
1430.000000,0.000017,-64.311492
1440.000000,0.000018,-65.550284
1450.000000,0.000018,-66.816735
1460.000000,0.000019,-68.091734
1470.000000,0.000020,-69.380100
1480.000000,0.000021,-70.702096
1490.000000,0.000023,-72.057659
1500.000000,0.000024,-73.450793
1510.000000,0.000026,-74.889458
1520.000000,0.000029,-76.401847
1530.000000,0.000031,-77.753005
1540.000000,0.000034,-79.421149
1550.000000,0.000039,-81.254940
1560.000000,0.000045,-83.290188
1570.000000,0.000055,-85.692446
1580.000000,0.000067,-88.325690
1590.000000,0.000089,-92.537624
1600.000000,0.000136,-100.015771
1610.000000,0.000250,-117.686105
1620.000000,0.000408,-196.641508
1630.000000,0.000183,-240.877474
1640.000000,0.000103,-253.123515
1650.000000,0.000070,-258.649814
1660.000000,0.000053,-261.898662
1670.000000,0.000041,-264.499541
1680.000000,0.000034,-266.418311
1690.000000,0.000028,-268.209128
1700.000000,0.000024,-269.632751
1710.000000,0.000020,-270.958273
1720.000000,0.000017,-272.000077
1730.000000,0.000015,-272.814154
1740.000000,0.000012,-273.340867
1750.000000,0.000010,-273.478873
1760.000000,0.000008,-272.330544
1770.000000,0.000006,-270.186754
1780.000000,0.000005,-265.419203
1790.000000,0.000003,-243.326961
1800.000000,0.000002,-196.774906
1810.000000,0.000003,-155.420024
1820.000000,0.000006,-137.073945
1830.000000,0.000008,-133.032635
1840.000000,0.000011,-131.377386
1850.000000,0.000016,-130.903876
1860.000000,0.000020,-131.357828
1870.000000,0.000024,-132.285030
1880.000000,0.000030,-133.536279
1890.000000,0.000036,-135.464303
1900.000000,0.000049,-137.529014
1910.000000,0.000061,-139.756076
1920.000000,0.000076,-142.176395
1930.000000,0.000096,-144.983664
1940.000000,0.000124,-148.460646
1950.000000,0.000165,-152.741986
1960.000000,0.000227,-158.547090
1970.000000,0.000407,-173.278169
1980.000000,0.000653,-193.439188
1990.000000,0.000938,-231.704347
2000.000000,0.000848,-272.831901


