#X,Acoustic Pressure across Frequency(3)_At Node 50802,Acoustic Pressure across Frequency(3)_At Node 50802
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,2.107530E-04,-243.235227
21.000000,1.974455E-04,-245.613326
22.000000,1.842782E-04,-247.926702
23.000000,1.712745E-04,-250.178652
24.000000,1.584537E-04,-252.372516
25.000000,1.458321E-04,-254.511701
26.000000,1.334237E-04,-256.599712
27.000000,1.212419E-04,-258.640258
28.000000,1.093009E-04,-260.637425
29.000000,9.761873E-05,-262.596027
30.000000,8.622264E-05,-264.522351
31.000000,7.516052E-05,-266.425811
32.000000,6.453080E-05,-268.323277
33.000000,5.457652E-05,-270.252772
34.000000,4.610218E-05,-272.333823
35.000000,4.422391E-05,-275.304699
36.000000,3.080580E-05,-88.229185
37.000000,6.303914E-07,-94.930710
38.000000,6.907852E-06,-97.185120
39.000000,1.528956E-05,-99.005300
40.000000,2.419748E-05,-100.684837
41.000000,3.323581E-05,-102.291188
42.000000,4.226247E-05,-103.849009
43.000000,5.121556E-05,-105.369863
44.000000,6.006499E-05,-106.860144
45.000000,6.879528E-05,-108.323858
46.000000,7.739841E-05,-109.763766
47.000000,8.587049E-05,-111.181915
48.000000,9.420997E-05,-112.579912
49.000000,1.024168E-04,-113.959073
50.000000,1.104916E-04,-115.320508
51.000000,1.184359E-04,-116.665192
52.000000,1.262513E-04,-117.993976
53.000000,1.339397E-04,-119.307630
54.000000,1.415032E-04,-120.606845
55.000000,1.489437E-04,-121.892264
56.000000,1.562634E-04,-123.164464
57.000000,1.634644E-04,-124.423986
58.000000,1.705488E-04,-125.671335
59.000000,1.775186E-04,-126.906981
60.000000,1.843758E-04,-128.131358


