#X,Acoustic Velocity across Frequency(1)_At Node 6530,Acoustic Velocity across Frequency(1)_At Node 6530
#Frequency(Hz),Velocity(mm/sec)_Magnitude,Angle(degrees)_Phase
20.000000,774.069210,-224.418635
21.000000,747.777819,-227.052470
22.000000,719.589461,-229.738698
23.000000,689.473940,-232.476970
24.000000,657.417943,-235.266274
25.000000,623.428615,-238.104906
26.000000,587.536365,-240.990406
27.000000,549.797709,-243.919544
28.000000,510.297904,-246.888339
29.000000,469.152194,-249.892094
30.000000,426.506939,-252.925473
31.000000,382.540170,-255.982667
32.000000,337.462129,-259.057658
33.000000,291.517812,-262.144693
34.000000,244.997449,-265.239281
35.000000,198.273482,-268.340808
36.000000,151.951927,-271.461706
37.000000,107.791234,-274.680619
38.000000,93.723152,-279.577616
39.000000,6.212565,-99.487037
40.000000,45.380086,-102.791629
41.000000,88.617954,-105.760983
42.000000,131.787391,-108.617394
43.000000,174.104479,-111.393467
44.000000,215.255912,-114.097157
45.000000,255.070552,-116.730539
46.000000,293.443346,-119.294034
47.000000,330.309936,-121.787724
48.000000,365.635311,-124.211794
49.000000,399.407347,-126.566714
50.000000,431.632027,-128.853264
51.000000,462.330133,-131.072547
52.000000,491.534039,-133.225919
53.000000,519.285182,-135.314990
54.000000,545.631765,-137.341551
55.000000,570.626984,-139.307533
56.000000,594.327290,-141.214966
57.000000,616.791097,-143.065980
58.000000,638.077618,-144.862703
59.000000,658.246136,-146.607310
60.000000,677.354904,-148.301937


