#X,Acoustic Pressure across Frequency_At Node 601
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude
20.000000,5.339732E-07
30.000000,3.298102E-07
40.000000,2.062233E-07
50.000000,1.197486E-07
60.000000,5.462987E-08
70.000000,2.493486E-08
80.000000,6.211289E-08
90.000000,1.051263E-07
100.000000,1.460993E-07
110.000000,1.851188E-07
120.000000,2.226259E-07
130.000000,2.590059E-07
140.000000,2.945628E-07
150.000000,3.295353E-07
160.000000,3.641136E-07
170.000000,3.984525E-07
180.000000,4.326807E-07
190.000000,4.669085E-07
200.000000,5.012315E-07
210.000000,5.357359E-07
220.000000,5.705001E-07
230.000000,6.055974E-07
240.000000,6.410974E-07
250.000000,6.770677E-07
260.000000,7.135749E-07
270.000000,7.506854E-07
280.000000,7.884667E-07
290.000000,8.269873E-07
300.000000,8.663184E-07
310.000000,9.065341E-07
320.000000,9.477124E-07
330.000000,9.899355E-07
340.000000,1.033291E-06
350.000000,1.077872E-06
360.000000,1.123781E-06
370.000000,1.171124E-06
380.000000,1.220020E-06
390.000000,1.270598E-06
400.000000,1.322997E-06
410.000000,1.377371E-06
420.000000,1.433890E-06
430.000000,1.492741E-06
440.000000,1.554131E-06
450.000000,1.618291E-06
460.000000,1.685482E-06
470.000000,1.755994E-06
480.000000,1.830154E-06
490.000000,1.908337E-06
500.000000,1.990965E-06
510.000000,2.078525E-06
520.000000,2.171578E-06
530.000000,2.270773E-06
540.000000,2.376869E-06
550.000000,2.490758E-06
560.000000,2.613498E-06
570.000000,2.746354E-06
580.000000,2.890853E-06
590.000000,3.048861E-06
600.000000,3.222685E-06
610.000000,3.415210E-06
620.000000,3.630112E-06
630.000000,3.872148E-06
640.000000,4.147600E-06
650.000000,4.464968E-06
660.000000,4.836060E-06
670.000000,5.277832E-06
680.000000,5.815592E-06
690.000000,6.488959E-06
700.000000,7.363749E-06
710.000000,8.557880E-06
720.000000,1.030454E-05
730.000000,1.312895E-05
740.000000,1.841176E-05
750.000000,2.930719E-05
760.000000,3.002246E-05
770.000000,1.508966E-05
780.000000,8.059998E-06
790.000000,4.587241E-06
800.000000,2.739161E-06
810.000000,2.241303E-06
820.000000,2.926122E-06
830.000000,4.182373E-06
840.000000,5.821420E-06
850.000000,7.989619E-06
860.000000,1.111362E-05
870.000000,1.624238E-05
880.000000,2.660724E-05
890.000000,5.730237E-05
900.000000,9.374001E-05
910.000000,3.959005E-05
920.000000,2.387009E-05
930.000000,1.717910E-05
940.000000,1.349741E-05
950.000000,1.116273E-05
960.000000,9.544682E-06
970.000000,8.353206E-06
980.000000,7.436426E-06
990.000000,6.707146E-06
1000.000000,6.111711E-06
1010.000000,5.615229E-06
1020.000000,5.194361E-06
1030.000000,4.832051E-06
1040.000000,4.516532E-06
1050.000000,4.238853E-06
1060.000000,3.992248E-06
1070.000000,3.771488E-06
1080.000000,3.572469E-06
1090.000000,3.391919E-06
1100.000000,3.227198E-06
1110.000000,3.076150E-06
1120.000000,2.936999E-06
1130.000000,2.808263E-06
1140.000000,2.688699E-06
1150.000000,2.577254E-06
1160.000000,2.473032E-06
1170.000000,2.375261E-06
1180.000000,2.283278E-06
1190.000000,2.196504E-06
1200.000000,2.114437E-06
1210.000000,2.036633E-06
1220.000000,1.962703E-06
1230.000000,1.892301E-06
1240.000000,1.825121E-06
1250.000000,1.760887E-06
1260.000000,1.699353E-06
1270.000000,1.640298E-06
1280.000000,1.583520E-06
1290.000000,1.528833E-06
1300.000000,1.476051E-06
1310.000000,1.424091E-06
1320.000000,1.375982E-06
1330.000000,1.328123E-06
1340.000000,1.281701E-06
1350.000000,1.236572E-06
1360.000000,1.192628E-06
1370.000000,1.149768E-06
1380.000000,1.107897E-06
1390.000000,1.066926E-06
1400.000000,1.026767E-06
1410.000000,9.873333E-07
1420.000000,9.485398E-07
1430.000000,9.102998E-07
1440.000000,8.725234E-07
1450.000000,8.351164E-07
1460.000000,7.979770E-07
1470.000000,7.609930E-07
1480.000000,7.240365E-07
1490.000000,6.869581E-07
1500.000000,6.495785E-07
1510.000000,6.116743E-07
1520.000000,5.729596E-07
1530.000000,5.330543E-07
1540.000000,4.914354E-07
1550.000000,4.473519E-07
1560.000000,3.996756E-07
1570.000000,3.466156E-07
1580.000000,2.851368E-07
1590.000000,2.096719E-07
1600.000000,1.094138E-07
1610.000000,6.473293E-08
1620.000000,3.820127E-07
1630.000000,1.570547E-06
1640.000000,2.404865E-06
1650.000000,1.102215E-06
1660.000000,7.591242E-07
1670.000000,5.938104E-07
1680.000000,4.893151E-07
1690.000000,4.126021E-07
1700.000000,3.508018E-07
1710.000000,2.980491E-07
1720.000000,2.508451E-07
1730.000000,2.074952E-07
1740.000000,1.668009E-07
1750.000000,1.279857E-07
1760.000000,9.051570E-08
1770.000000,5.402471E-08
1780.000000,1.844127E-08
1790.000000,1.806964E-08
1800.000000,5.300823E-08
1810.000000,8.815023E-08
1820.000000,1.234029E-07
1830.000000,1.588645E-07
1840.000000,1.946436E-07
1850.000000,2.308487E-07
1860.000000,2.675884E-07
1870.000000,3.049741E-07
1880.000000,3.431231E-07
1890.000000,3.821652E-07
1900.000000,4.222689E-07
1910.000000,4.642292E-07
1920.000000,5.053896E-07
1930.000000,5.495736E-07
1940.000000,5.953736E-07
1950.000000,6.433352E-07
1960.000000,6.960176E-07
1970.000000,7.406154E-07
1980.000000,7.972838E-07
1990.000000,8.557113E-07
2000.000000,9.176253E-07


